iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
CAN,North America,Canada,1/1/2021,596582,6333,6805.429,16764,79,131.286,15671.518,166.361,178.771,440.371,2.075,3.449,1.06,817,21.462,4212,110.644,,,,,18097623,132528,475.404,3.481,98943,2.599,0.0688,14.5,tests performed,105404,105401,3,,6962,8087,0.28,0.28,0,,212,8087,0.021,72.69,38067913,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,1/2/2021,602396,5814,6867.857,16877,113,131.429,15824.245,152.727,180.411,443.339,2.968,3.452,1.07,814,21.383,3970,104.287,,,,,18229970,132347,478.88,3.477,99556,2.615,0.069,14.5,tests performed,110048,110045,3,,4644,8749,0.29,0.29,0,,230,8748,0.023,72.69,38067913,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,1/3/2021,612021,9625,7450.857,16998,121,126.286,16077.083,252.838,195.725,446.518,3.179,3.317,1.09,840,22.066,4012,105.391,,,,,18342575,112605,481.838,2.958,101386,2.663,0.0735,13.6,tests performed,115256,115253,3,,5208,8977,0.3,0.3,0,,236,8976,0.024,72.69,38067913,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,13205.7,4.42,12.06,346.8984496
CAN,North America,Canada,1/4/2021,621738,9717,7943.286,17245,247,145.857,16332.337,255.254,208.661,453.006,6.488,3.831,1.08,833,21.882,4263,111.984,,,,,18430711,88136,484.153,2.315,103185,2.711,0.077,13,tests performed,138858,138855,3,,23602,11402,0.36,0.36,0,,300,11402,0.03,72.69,38067913,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,1/5/2021,629266,7528,7675.143,17410,165,139.143,16530.089,197.752,201.617,457.341,4.334,3.655,1.07,859,22.565,4457,117.08,,,,,18514140,83429,486.345,2.192,103907,2.73,0.0739,13.5,tests performed,156683,156677,6,,17825,12089,0.41,0.41,0,,318,12089,0.032,72.69,38067913,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,1/6/2021,638177,8911,7846.143,17564,154,142.286,16764.171,234.082,206.109,461.386,4.045,3.738,1.06,870,22.854,4651,122.176,,,,,18597612,83472,488.538,2.193,104774,2.752,0.0749,13.4,tests performed,184772,184324,448,,28089,14182,0.49,0.48,0,,373,14118,0.037,75.46,38067913,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,1/7/2021,647408,9231,8165.571,17734,170,149.857,17006.659,242.488,214.5,465.852,4.466,3.937,1.04,863,22.67,4592,120.627,,,,,18716320,118708,491.656,3.118,107318,2.819,0.0761,13.1,tests performed,221912,220488,1424,,37140,17639,0.58,0.58,0,,463,17435,0.046,75.46,38067913,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,1/8/2021,656298,8890,8530.857,17886,152,160.286,17240.189,233.53,224.096,469.845,3.993,4.211,1.02,873,22.933,4554,119.628,,,,,18851810,135490,495.215,3.559,107741,2.83,0.0792,12.6,tests performed,263780,261086,2694,,41868,22625,0.69,0.69,0.01,,594,22241,0.058,75.46,38067913,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,1/9/2021,663188,6890,8684.571,18048,162,167.286,17421.181,180.992,228.134,474.1,4.256,4.394,1,890,23.379,4527,118.919,,,,,18998073,146263,499.057,3.842,109729,2.882,0.0791,12.6,tests performed,299989,296053,3936,,36209,27134,0.79,0.78,0.01,,713,26573,0.07,75.46,38067913,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,1/10/2021,669592,6404,8224.429,18178,130,168.571,17589.407,168.226,216.046,477.515,3.415,4.428,0.97,885,23.248,4525,118.867,,,,,19139670,141597,502.777,3.72,113871,2.991,0.0722,13.8,tests performed,323497,319545,3952,,23508,29749,0.85,0.84,0.01,,781,29185,0.077,75.46,38067913,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,13457.2,4.4,3.85,353.5050634
CAN,North America,Canada,1/11/2021,677012,7420,7896.286,18338,160,156.143,17784.321,194.915,207.426,481.718,4.203,4.102,0.95,894,23.484,4683,123.017,,,,,19260709,121039,505.957,3.18,118571,3.115,0.0666,15,tests performed,361841,357878,3963,,38344,31855,0.95,0.94,0.01,,837,31289,0.082,75.46,38067913,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,1/12/2021,683815,6803,7792.714,18519,181,158.429,17963.028,178.707,204.706,486.473,4.755,4.162,0.94,901,23.668,4879,128.166,,,,,19355884,95175,508.457,2.5,120249,3.159,0.0648,15.4,tests performed,393052,387536,5516,,31211,33767,1.03,1.02,0.01,,887,32980,0.087,75.46,38067913,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,,,,
